EntrezID,Symbol,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B
236285,Lancl3,3920,-4.77852623447406,-4.88251662591664,-5.57946475297037,0.000101326652418665,0.0383569006195537,0.337561822141883
19732,Rgl2,2940,1.30939773218214,4.95599634133625,5.5718396352833,0.000102607473028944,0.0383569006195537,1.30676808850381
20420,Shd,1537,4.50654619093693,-4.20690211289918,5.5674696433962,0.000103349182119896,0.0383569006195537,0.153697161321664
56504,Srpk3,1964,1.13426558384861,5.81681924307632,5.53129579001128,0.000109709691316284,0.0396170590723477,1.23656502313371
16911,Lmo4,2049,-0.756500131449423,4.58588646629427,-5.50848179076842,0.000113931644223047,0.040058965749056,1.22117912730183
216859,Acap1,2482,0.889193599535817,6.90043342441441,5.4755404907908,0.000120331504532287,0.0412243392834844,1.12449036605342
75863,Clec4g,1235,4.9849877660646,-0.00375306975636164,5.43424898393636,0.00012889139212731,0.0430529472553246,0.594211993430963
373864,Col27a1,7635,1.92239896814147,-1.02044272957528,5.37680524950779,0.000141877955043169,0.0462349111544336,1.30133635849548
330256,Gm20559,2991,1.75471176326455,5.50572543936662,5.34809762435259,0.000148876091467652,0.0473603204309356,0.939795368116721
15980,Ifngr2,2070,0.750849092480299,4.88033169886658,5.30406961924787,0.0001603211443875,0.0491243929429756,0.942978015406786
12494,Cd38,2995,-0.876260342848179,5.90415985633148,-5.29871477559155,0.000161774813972826,0.0491243929429756,0.870410971376497
70377,Derl3,1336,0.941245028296716,3.28467714642482,5.23012286173387,0.000181667610330196,0.0539391320360387,0.853526878161931
70300,Fuz,1698,1.02543811470583,3.49298364123823,5.14439401535277,0.000210196044196203,0.0610528118805537,0.785105322592318
217344,Rhbdf2,3934,0.954234857840303,4.43714613311099,5.10857095110096,0.000223472986235912,0.0628756527967045,0.541202429751178
54194,Akap8l,2072,0.779212187805134,5.09386262138056,5.09539698337446,0.000228573872432227,0.0628756527967045,0.522519349550033
622665,Ccdc17,2003,2.18958018718173,2.33299851294292,5.06263088501728,0.000241796222212642,0.0628756527967045,0.66569288671433
217216,BC030867,2543,-1.10667638500464,0.886690699614474,-5.0611712692339,0.00024240353390041,0.0628756527967045,0.658950023649112
171168,Acer1,2429,-5.73326992212015,-3.7387780872469,-5.05985427650024,0.00024295287297149,0.0628756527967045,-0.17181224458851
68192,Leprotl1,2585,-0.85972722166142,3.28096211925002,-5.05566900753562,0.000244707278304665,0.0628756527967045,0.569490968162459
98256,Kmo,2498,0.75977255957945,5.64371547679438,5.02413538307623,0.00025835929892872,0.0645680253160367,0.366668379615424
106763,Ttbk1,6959,-2.1392861494756,-1.43335523338332,-5.015090501026,0.000262420426663393,0.0645680253160367,0.633694450408289
27059,Sh3d19,6414,-1.78364391042097,-0.956264370838796,-5.00769277812518,0.000265791586885863,0.0645680253160367,0.714562160448028
100217457,Snord58b,55,4.03301961786986,3.22281529402402,4.94767302500289,0.000294874085396993,0.0703537974105218,-0.165446325437038
233066,Syne4,1354,2.97139804172564,-0.525684176623297,4.91543236164099,0.000311851081376282,0.0730989876889212,0.137465624320122
104086,Cyp27a1,1890,1.282421016634,2.85768294479935,4.89784422324266,0.000321539865504676,0.0731922706186717,0.364147693118234
15002,H2-Ob,2670,0.93660882276326,8.3078781240504,4.89487702344249,0.000323205146807996,0.0731922706186717,0.0919221621157744
20322,Sord,2259,-1.2333209195164,1.68737289127004,-4.86965889879142,0.000337726980540592,0.0752061697833808,0.363982142937331
12522,Cd83,2145,0.909746454942641,7.91319738307698,4.84279857890144,0.00035394562818819,0.0775256973479084,0.00994396971845379
21887,Tle3,5202,-0.94145953690033,4.61096005009346,-4.82271808518317,0.000366600133828939,0.0777595452819369,0.0323690833508952
26382,Fgd2,2625,0.807787182570976,5.44094158155502,4.82263564843403,0.000366653046385901,0.0777595452819369,0.0392957139032042
83768,Dpp7,1655,1.14735647011174,3.21876556610996,4.80123750870091,0.000380660606857254,0.0792089378557495,0.255816142977551
14567,Gdi1,2657,1.18339781401148,5.6525254215554,4.78874252342039,0.000389097026104185,0.0792089378557495,-0.0617362065550706
18796,Plcb2,5145,1.13010618973145,3.72955362199989,4.78447986675386,0.000392019506901659,0.0792089378557495,-0.000206983477110789
